post_id,post_text,category,react_likes,react_love,react_haha,react_sad,react_wow,react_angry,number of comments,positive sent,negative sent,neutral sent,anger,fear,sad,happy,neutral,avg words in comments,median words in comments
25604775729_10156749654695730,Der 28-Jährige fuhr betrunken mit über 110 km/h durch die Stadt  tötete dabei eine junge Frau.,Straftat,233,1,2,42,5,137,66,33.333333333333336,37.878787878787875,28.78787878787879,30.303030303030305,6.0606060606060606,7.575757575757576,16.666666666666668,39.39393939393939,15.484848484848484,11.0
25604775729_10156749657155730, Viele Väter leiden unter der Trennung von ihren Kindern. Wenn sie ihre Rechte geltend machen wollen  haben sie bei Behörden und Gerichten oft einen schweren Stand. ,Straftat,1261,66,13,2,5,1,152,42.76315789473684,30.263157894736842,26.973684210526315,9.868421052631579,8.552631578947368,28.94736842105263,19.07894736842105,33.55263157894737,23.657894736842106,16.5
25604775729_10156750225795730,Erst tötete er seine Freundin  dann rammte er sich ein Messer vor den Augen des gemeinsamen Sohnes in den Bauch. Doch vor Gericht gibt er den reumütigen Vater.,Straftat,62,4,39,17,3,281,136,22.794117647058822,52.94117647058823,24.264705882352942,35.294117647058826,9.558823529411764,11.029411764705882,11.764705882352942,32.35294117647059,19.610294117647058,13.0
25604775729_10156750240230730,Raub  Drogen  sexuelle Übergriffe – was früher der schönste Park Münchens war  ist zum Schandfleck und zur Angst-Zone verkommen. Das soll sich ändern.,Alltag&Skurriles,204,3,582,39,15,24,407,31.94103194103194,30.22113022113022,37.83783783783784,24.57002457002457,6.388206388206388,5.896805896805897,31.203931203931205,31.94103194103194,14.181818181818182,10.0
25604775729_10156750252850730,Ein kurzes Klirren  ein paar gezielte Handgriffe. Sie knacken ein Auto in Sekunden und schlachten es aus!,Straftat,144,2,13,2,26,127,230,19.130434782608695,29.565217391304348,51.30434782608695,13.478260869565217,5.6521739130434785,7.391304347826087,18.26086956521739,55.21739130434783,13.11304347826087,9.0
25604775729_10156750263655730,Mit verschränkten Armen sitzt Dimitri K. im Gerichtssaal. Was er von der Polizei hält  trägt er in seinem Gesicht provokant als Tattoo zur Schau: „Fuck Cops“.,Straftat,296,6,190,5,6,275,419,25.05966587112172,36.0381861575179,38.902147971360385,22.43436754176611,7.637231503579952,5.727923627684964,24.343675417661096,39.856801909307876,14.15035799522673,10.0
25604775729_10156750283730730,Die 28-Jährige suchte am Montagabend den Mann fürs Leben. Im TV. Fast nackt. Die Kerle hingegen waren wirklich splitterfasernackt.,Alltag&Skurriles,56,3,14,2,0,7,38,36.8421052631579,36.8421052631579,26.31578947368421,47.36842105263158,5.2631578947368425,7.894736842105263,18.42105263157895,21.05263157894737,12.421052631578947,8.0
25604775729_10156750304975730,Eine Polizeisprecherin: „Er wird verdächtigt  sein Glied vor Zuschauern entblößt zu haben  um sich dann selbst zu befriedigen.” Doch der junge Mann soll noch viel Schlimmeres getan haben.,Straftat,63,0,0,6,14,423,52,30.76923076923077,40.38461538461539,28.846153846153847,42.30769230769231,7.6923076923076925,11.538461538461538,17.307692307692307,21.153846153846153,17.01923076923077,13.0
25604775729_10156750320140730,„Das ist etwas  das kaum verstanden wird und von dem Ärzte nichts wissen“.,Gesellschaft/Ethik/Politik,313,1,258,6,50,9,462,19.047619047619047,38.74458874458875,42.20779220779221,25.974025974025974,2.813852813852814,4.978354978354979,31.16883116883117,35.064935064935064,16.80952380952381,9.0
25604775729_10156750324960730,„Dieser Raum ist voll von einem Nebel  so dunstig und dicht  dass man kaum den Boden sehen kann. Jedes Tier  das hineingeht  ist sofort tot. ,Alltag&Skurriles,358,1,9,53,191,6,45,31.11111111111111,35.55555555555556,33.333333333333336,11.11111111111111,8.88888888888889,11.11111111111111,24.444444444444443,44.44444444444444,11.8,9.0
