type	by	post_id	subcategory	category_new	category	post_link	post_message	picture	full_picture	link	link_domain	post_published	post_published_unix	post_published_sql	likes_count_fb	comments_count_fb	reactions_count_fb	shares_count_fb	engagement_fb	comments_retrieved	comments_base	comments_replies	comment_likes_count	rea_LOVE	rea_WOW	rea_HAHA	rea_SAD	rea_ANGRY	rea_THANKFUL
link	post_page_25604775729	25604775729_10156753919920730	Sex	Alltag/Gesundheit/Verbraucher	Alltag/Skurriles	https://www.facebook.com/bild/posts/10156753919920730	Findet ihr euren Busen geil? Wie schmeckt euch das Sperma? Und mögt ihr es lieber untenrum glatt oder behaart?	https://external.xx.fbcdn.net/safe_image.php?d=AQBFr4xpc3o0WYq4&w=130&h=130&url=http%3A%2F%2Fbilder.bild.de%2Ffotos%2Fpaerchen-im-bett-200334964-51128486%2FBild%2F3%2Cclub%3Dbildplus.bild.jpg&cfs=1&sx=252&sy=0&sw=720&sh=720&_nc_hash=AQCSZIMvL1od_Ws3	https://external.xx.fbcdn.net/safe_image.php?d=AQCbbnvMzoFb2bv-&url=http%3A%2F%2Fbilder.bild.de%2Ffotos%2Fpaerchen-im-bett-200334964-51128486%2FBild%2F3%2Cclub%3Dbildplus.bild.jpg&_nc_hash=AQDqQdOiozK5dUZb	http://m.exactag.com/cl.aspx?tc=49e2b8671dd776d4e677b112c45bdac9&keyword=51125334-25604775729&url=http%3A%2F%2Fwww.bild.de%2Fbild-plus%2Fratgeber%2Fpartnerschaft%2Fsex%2Fwas-maenner-wissen-wollen-wie-schmeckt-frauen-sperma-51125334.bild.html	m.exactag.com	2018-02-22T01:51:00+0000	1519264260	2018-02-22 02:51:00	16	50	31	4	85	40	19	21	101	0	0	15	0	0	0
link	post_page_25604775729	25604775729_10156763597855730		Alltag/Gesundheit/Verbraucher	Alltag/Skurriles	https://www.facebook.com/bild/posts/10156763597855730	Zehn Millionen Deutsche spielen regelmäßig oder gelegentlich an Spielautomaten. Oft geht es nur um kleine Beträge.	https://external.xx.fbcdn.net/safe_image.php?d=AQCAyXtGIiz9kWgF&w=130&h=130&url=http%3A%2F%2Fbilder.bild.de%2Ffotos%2Fgluecksspiel-ist-nicht-nur-maennersache--auch-viele-frauen-gehen-laut-einer-umfrage-gerne-zocken-200624563-54821806%2FBild%2F2%2Cclub%3Dbildplus.bild.jpg&cfs=1&_nc_hash=AQBOpaSnidQr1imo	https://external.xx.fbcdn.net/safe_image.php?d=AQBNZqyVb-qxJZlP&url=http%3A%2F%2Fbilder.bild.de%2Ffotos%2Fgluecksspiel-ist-nicht-nur-maennersache--auch-viele-frauen-gehen-laut-einer-umfrage-gerne-zocken-200624563-54821806%2FBild%2F2%2Cclub%3Dbildplus.bild.jpg&_nc_hash=AQB5f4jbA4r713DL	http://m.exactag.com/cl.aspx?tc=49e2b8671dd776d4e677b112c45bdac9&keyword=54821738-25604775729&url=http%3A%2F%2Fwww.bild.de%2Fbild-plus%2Fgeld%2Fwirtschaft%2Fgeldspielautomat%2Fgeldspielautomaten-so-ticken-deutschlands-automaten-zocker-54821738.bild.html	m.exactag.com	2018-02-24T19:33:00+0000	1519500780	2018-02-24 20:33:00	53	127	70	10	207	123	72	51	215	1	7	2	5	2	0
link	post_page_25604775729	25604775729_10156767118015730		Alltag/Gesundheit/Verbraucher	Alltag/Skurriles	https://www.facebook.com/bild/posts/10156767118015730	Sie sagt  sie wurde geschlagen. Die Täterin wurde aber freigesprochen.	https://external.xx.fbcdn.net/safe_image.php?d=AQBFchDLPnxkVkNy&w=130&h=130&url=http%3A%2F%2Fbilder.bild.de%2Ffotos%2Fsie-haben-fuer-europaeische-verhaeltnisse-einen-wirklich-grossen-hintern--richterin-beleidigt-afrikan-200706452-54920242%2FBild%2F1%2Cclub%3Dbildplus.bild.jpg&cfs=1&sx=412&sy=0&sw=720&sh=720&_nc_hash=AQAygB1MFdlpP4YB	https://external.xx.fbcdn.net/safe_image.php?d=AQCNJCLgSRWZOKEf&url=http%3A%2F%2Fbilder.bild.de%2Ffotos%2Fsie-haben-fuer-europaeische-verhaeltnisse-einen-wirklich-grossen-hintern--richterin-beleidigt-afrikan-200706452-54920242%2FBild%2F1%2Cclub%3Dbildplus.bild.jpg&_nc_hash=AQCKny0CCgH_Danm	http://m.exactag.com/cl.aspx?tc=49e2b8671dd776d4e677b112c45bdac9&keyword=54920236-25604775729&url=http%3A%2F%2Fwww.bild.de%2Fbild-plus%2Fregional%2Fberlin%2Ffotomodel%2Fspricht-in-bild-54920236.bild.html	m.exactag.com	2018-02-25T15:23:00+0000	1519572180	2018-02-25 16:23:00	22	35	31	1	67	27	13	14	68	0	0	7	1	1	0
link	post_page_25604775729	25604775729_10156769149895730	Schicksal	Alltag/Gesundheit/Verbraucher	Alltag/Skurriles	https://www.facebook.com/bild/posts/10156769149895730	Auf „Hafturlaub“ fuhr er nach Frankfurt  mietete sich in einem Hotel ein.	https://external.xx.fbcdn.net/safe_image.php?d=AQB0YQ8YWXevD2N9&w=130&h=130&url=http%3A%2F%2Fbilder.bild.de%2Ffotos%2Fadelsspross-carlos-patrick-godehard-prinz-von-hohenzollern-200707710-54925104%2FBild%2F3%2Cclub%3Dbildplus.bild.jpg&cfs=1&sx=243&sy=0&sw=720&sh=720&_nc_hash=AQC3ZXwFxag0Axvf	https://external.xx.fbcdn.net/safe_image.php?d=AQBqi7ijkMx2uARb&url=http%3A%2F%2Fbilder.bild.de%2Ffotos%2Fadelsspross-carlos-patrick-godehard-prinz-von-hohenzollern-200707710-54925104%2FBild%2F3%2Cclub%3Dbildplus.bild.jpg&_nc_hash=AQA6Yvby6LW0WUuY	http://m.exactag.com/cl.aspx?tc=49e2b8671dd776d4e677b112c45bdac9&keyword=54924694-25604775729&url=http%3A%2F%2Fwww.bild.de%2Fbild-plus%2Fregional%2Ffrankfurt%2Ffrankfurt-am-main%2Ftodesdrama-um-hohenzollern-prinzen-54924694.bild.html%3Fwt_eid%3D2151334989400795114&wt_t=2151962515532491078	m.exactag.com	2018-02-26T06:23:31+0000	1519626211	2018-02-26 07:23:31	66	37	141	11	189	28	15	13	159	0	16	3	56	0	0
link	post_page_25604775729	25604775729_10156771610220730	Schicksal	Alltag/Gesundheit/Verbraucher	Alltag/Skurriles	https://www.facebook.com/bild/posts/10156771610220730	Am Samstag vor einer Woche hatte Dominik Lemcke (29) für seine Frau noch eine Überraschungsparty organisiert. Jetzt ist er alleine mit drei Kindern.	https://external.xx.fbcdn.net/safe_image.php?d=AQB74rqrvHTtitd_&w=130&h=130&url=https%3A%2F%2Fbilder.bild.de%2Ffotos%2Funter-schock-witwer-dominik-mit-seinen-drei-kindern-elias3-louis2-und-leonie-franziska-vier-200709396-54939040%2FBild%2F3%2Cclub%3Dbildplus.bild.jpg&cfs=1&sx=167&sy=0&sw=720&sh=720&_nc_hash=AQARvDCSGlTJnR-p	https://external.xx.fbcdn.net/safe_image.php?d=AQBRSxsO3aWuFBgq&url=https%3A%2F%2Fbilder.bild.de%2Ffotos%2Funter-schock-witwer-dominik-mit-seinen-drei-kindern-elias3-louis2-und-leonie-franziska-vier-200709396-54939040%2FBild%2F3%2Cclub%3Dbildplus.bild.jpg&_nc_hash=AQAOUfS6EQbW3Ezu	http://m.exactag.com/cl.aspx?tc=49e2b8671dd776d4e677b112c45bdac9&keyword=54939058-25604775729&url=https%3A%2F%2Fwww.bild.de%2Fbild-plus%2Fregional%2Fberlin%2Fmeningitis%2Fdeutschlands-tapferste-familie-54939058.bild.html	m.exactag.com	2018-02-27T06:06:00+0000	1519711560	2018-02-27 07:06:00	356	263	3761	675	4699	248	179	69	1557	51	21	4	3317	12	0
link	post_page_25604775729	25604775729_10156791826460730	Sex	Alltag/Gesundheit/Verbraucher	Alltag/Skurriles	https://www.facebook.com/bild/posts/10156791826460730	„Die haben das wirklich gemacht. Aber das meiste  was man in Zeitlupe sieht  ist angerührtes Sperma – Eiweiß mit weißer Farbe  zum Beispiel.“	https://external.xx.fbcdn.net/safe_image.php?d=AQB0L_wZ1xs299Pp&w=130&h=130&url=https%3A%2F%2Fbilder.bild.de%2Ffotos%2Fvon-game-of-thrones-bis-titanic-pikante-details-beruehmter-sex-szenen-die-keiner-kennt-200713327-54973834%2FBild%2F2%2Cclub%3Dbildplus.bild.jpg&cfs=1&sx=32&sy=0&sw=720&sh=720&_nc_hash=AQBAs--b9sGwKUB3	https://external.xx.fbcdn.net/safe_image.php?d=AQBMUZyvuYdZH5cQ&url=https%3A%2F%2Fbilder.bild.de%2Ffotos%2Fvon-game-of-thrones-bis-titanic-pikante-details-beruehmter-sex-szenen-die-keiner-kennt-200713327-54973834%2FBild%2F2%2Cclub%3Dbildplus.bild.jpg&_nc_hash=AQCcPw_XbxuWfCKJ	http://m.exactag.com/cl.aspx?tc=49e2b8671dd776d4e677b112c45bdac9&keyword=54946546-25604775729&url=https%3A%2F%2Fwww.bild.de%2Fbild-plus%2Funterhaltung%2Fkino%2Fkino%2Fdie-geheimnisse-hinter-diesen-beruehmten-sex-szenen-54946546.bild.html	m.exactag.com	2018-03-04T23:22:00+0000	1520205720	2018-03-05 00:22:00	30	4	34	1	39	3	3	0	0	0	0	4	0	0	0
link	post_page_25604775729	25604775729_10156786915105730	Sex	Alltag/Gesundheit/Verbraucher	Liebe/Freundschaft	https://www.facebook.com/bild/posts/10156786915105730	Liebe Männer  Grundwissen für euren Waffenschein. 😘	https://scontent.xx.fbcdn.net/v/t39.2147-6/c21.0.130.130/p130x130/27971474_10156786904265730_7441634897405411328_n.jpg?oh=e993fe966459caad0e3498737c67da11&oe=5B34E7D0	https://scontent.xx.fbcdn.net/v/t39.2147-6/27971474_10156786904265730_7441634897405411328_n.jpg?oh=1f956c6b448e3c4e418aaa577d1fbfd0&oe=5B02428B	http://m.exactag.com/cl.aspx?tc=49e2b8671dd776d4e677b112c45bdac9&keyword=54965934-25604775729&url=https%3A%2F%2Fwww.bild.de%2Fbild-plus%2Funterhaltung%2Ferotik%2Fsexualpraktiken%2Fverschiedene-penis-typen-54965934.bild.html	m.exactag.com	2018-03-02T23:13:00+0000	1520032380	2018-03-03 00:13:00	179	76	221	9	306	65	51	14	323	0	4	36	0	2	0
link	post_page_25604775729	25604775729_10156791657960730		Alltag/Gesundheit/Verbraucher	Alltag/Skurriles	https://www.facebook.com/bild/posts/10156791657960730	Die Entdeckung könne im Zusammenhang mit dem Licht stehen  von dem Menschen berichten  die dem Tod nahe waren.	https://external.xx.fbcdn.net/safe_image.php?d=AQC0skDht5uw7l78&w=130&h=130&url=https%3A%2F%2Fbilder.bild.de%2Ffotos%2Fneurologe-jens-dreier-200714902-54989434%2FBild%2F2%2Cclub%3Dbildplus.bild.jpg&cfs=1&sx=385&sy=0&sw=720&sh=720&_nc_hash=AQDs4ywHeMqw7zuc	https://external.xx.fbcdn.net/safe_image.php?d=AQBupzfft9ozgz4B&url=https%3A%2F%2Fbilder.bild.de%2Ffotos%2Fneurologe-jens-dreier-200714902-54989434%2FBild%2F2%2Cclub%3Dbildplus.bild.jpg&_nc_hash=AQCa4AG5REcxsMnh	http://m.exactag.com/cl.aspx?tc=49e2b8671dd776d4e677b112c45bdac9&keyword=54989378-25604775729&url=https%3A%2F%2Fwww.bild.de%2Fbild-plus%2Fratgeber%2F2018%2Fforschung%2Fdas-passiert-im-augenblick-des-todes-im-gehirn-54989378.bild.html	m.exactag.com	2018-03-04T22:48:00+0000	1520203680	2018-03-04 23:48:00	39	43	44	7	94	40	10	30	154	0	5	0	0	0	0
link	post_page_25604775729	25604775729_10156802714735730		Alltag/Gesundheit/Verbraucher	Alltag/Skurriles	https://www.facebook.com/bild/posts/10156802714735730	Er schaffte es von ganz unten zum größten Autohändler der Arabischen Emirate  ist heute steinreich. Und er hat Tipps  wie jeder das schaffen kann.	https://external.xx.fbcdn.net/safe_image.php?d=AQCrDAVdRLZC0FaO&w=130&h=130&url=https%3A%2F%2Fbilder.bild.de%2Ffotos%2Fsaygin-yalcin-vor-dem-haus-in-bremen-in-dem-er-aufgewachsen-ist-200718678-55022110%2FBild%2F2%2Cclub%3Dbildplus.bild.jpg&cfs=1&sx=77&sy=0&sw=720&sh=720&_nc_hash=AQAj2yUT67DWI1Uc	https://external.xx.fbcdn.net/safe_image.php?d=AQAv8cZbm9XzhOfE&url=https%3A%2F%2Fbilder.bild.de%2Ffotos%2Fsaygin-yalcin-vor-dem-haus-in-bremen-in-dem-er-aufgewachsen-ist-200718678-55022110%2FBild%2F2%2Cclub%3Dbildplus.bild.jpg&_nc_hash=AQByDSkA2JA7POgi	http://m.exactag.com/cl.aspx?tc=49e2b8671dd776d4e677b112c45bdac9&keyword=55021476-25604775729&url=https%3A%2F%2Fwww.bild.de%2Fbild-plus%2Fregional%2Fbremen%2Fstart-up%2Fso-habe-ich-meine-erste-million-verdient-55021476.bild.html	m.exactag.com	2018-03-07T16:02:00+0000	1520438520	2018-03-07 17:02:00	130	153	143	8	304	131	75	56	443	0	2	8	1	2	0
link	post_page_25604775729	25604775729_10156817467890730		Alltag/Gesundheit/Verbraucher	Alltag/Skurriles	https://www.facebook.com/bild/posts/10156817467890730	„Die Trennung von der Liebe meines Lebens begann mit einem harten Schnitt. Ich saß in der Küche  nahm ein Messer und ritzte mir die Pulsadern auf. Wie in Trance. Ich hatte genug von den Demütigungen durch Christian*.  So beginnt Jessica ihre Leidens-Geschichte zu erzählen.	https://external.xx.fbcdn.net/safe_image.php?d=AQBPHuQGP-ifCGHo&w=130&h=130&url=https%3A%2F%2Fbilder.bild.de%2Ffotos%2Fjessica-schulte-am-huelse-45-ist-an-der-liebe-zu-einem-mann-fast-zugrunde-gegangen-200721468-55048554%2FBild%2F2%2Cclub%3Dbildplus.bild.jpg&cfs=1&sx=560&sy=0&sw=720&sh=720&_nc_hash=AQAWkQdbIP8odJXw	https://external.xx.fbcdn.net/safe_image.php?d=AQBrLvmG2aw7uujf&url=https%3A%2F%2Fbilder.bild.de%2Ffotos%2Fjessica-schulte-am-huelse-45-ist-an-der-liebe-zu-einem-mann-fast-zugrunde-gegangen-200721468-55048554%2FBild%2F2%2Cclub%3Dbildplus.bild.jpg&_nc_hash=AQBznJwr5FQ4l6ir	http://m.exactag.com/cl.aspx?tc=49e2b8671dd776d4e677b112c45bdac9&keyword=55048550-25604775729&url=https%3A%2F%2Fwww.bild.de%2Fbild-plus%2Fratgeber%2Fkind-familie%2Fscheidung%2Fscheidung-ich-warsogar-mit-meinem-mann-im-puff-55048550.bild.html	m.exactag.com	2018-03-11T22:03:00+0000	1520805780	2018-03-11 23:03:00	27	40	49	1	90	37	25	12	103	1	7	1	12	1	0
